,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
2312,수도권본부,경기도 남양주시 삼패동 278ㅡ10,중앙선,215.0,활용,미사용,미사용,계획없음
2313,수도권본부,경기도 남양주시 삼패동 278ㅡ12,중앙선,30.0,활용,미사용,미사용,계획없음
2314,수도권본부,경기도 남양주시 삼패동 279ㅡ5,중앙선,717.0,활용,미사용,미사용,계획없음
2315,수도권본부,경기도 남양주시 삼패동 281ㅡ2,중앙선,417.0,활용,미사용,미사용,계획없음
2316,수도권본부,경기도 남양주시 삼패동 281ㅡ3,중앙선,304.0,활용,미사용,미사용,계획없음
2317,수도권본부,경기도 남양주시 삼패동 290ㅡ10,중앙선,17.0,활용,미사용,미사용,계획없음
2319,수도권본부,경기도 남양주시 삼패동 290ㅡ22,중앙선,112.0,활용,미사용,미사용,계획없음
2320,수도권본부,경기도 남양주시 삼패동 290ㅡ23,중앙선,23.0,활용,미사용,미사용,계획없음
2321,수도권본부,경기도 남양주시 삼패동 290ㅡ24,중앙선,56.0,활용,미사용,미사용,계획없음
2322,수도권본부,경기도 남양주시 삼패동 290ㅡ9,중앙선,26.0,활용,미사용,미사용,계획없음
2323,수도권본부,경기도 남양주시 삼패동 291ㅡ2,중앙선,893.0,활용,미사용,미사용,계획없음
2324,수도권본부,경기도 남양주시 삼패동 292ㅡ2,중앙선,69.0,활용,미사용,미사용,계획없음
2325,수도권본부,경기도 남양주시 삼패동 292ㅡ5,중앙선,377.0,활용,미사용,미사용,계획없음
2326,수도권본부,경기도 남양주시 삼패동 292ㅡ7,중앙선,79.0,활용,미사용,미사용,계획없음
2327,수도권본부,경기도 남양주시 삼패동 294ㅡ2,중앙선,707.0,활용,미사용,미사용,계획없음
2328,수도권본부,경기도 남양주시 삼패동 294ㅡ7,중앙선,33.0,활용,미사용,미사용,계획없음
2330,수도권본부,경기도 남양주시 삼패동 295ㅡ5,중앙선,10.0,활용,미사용,미사용,계획없음
2331,수도권본부,경기도 남양주시 삼패동 295ㅡ6,중앙선,195.0,활용,미사용,미사용,계획없음
