area,capacity,realty_price,insolation,generation_quantity,economic_feasibility,result
145,11.0,2860.0,3.15,206684.0,37711.0,0
1452,111.0,3040.0,3.15,2085685.0,399402.0,2
488,37.0,2550.0,3.15,695226.0,134211.0,0
47,3.0,3660.0,3.15,56371.0,10285.0,0
198,15.0,3960.0,3.15,281850.0,51426.0,0
559,43.0,7090.0,3.15,807970.0,155976.0,0
678,52.0,3300.0,3.15,977086.0,188624.0,0
1587,122.0,429.0,3.15,2292384.0,435963.0,2
893,68.0,429.0,3.15,1277721.0,246661.0,2
694,53.0,429.0,3.15,995872.0,192251.0,0
694,53.0,4070.0,3.15,995872.0,192251.0,0
1091,83.0,429.0,3.15,1559569.0,301071.0,2
1884,144.0,429.0,3.15,2705772.0,509335.0,2
13,1.0,9900.0,2.87,17123.0,3124.0,0
205,15.0,5110.0,2.87,256906.0,46874.0,0
23,1.0,5110.0,2.87,17123.0,3124.0,0
1570,120.0,3790.0,2.87,2055210.0,391335.0,2
1528,117.0,3790.0,2.87,2003837.0,382175.0,2
17,1.0,478.0,2.87,17123.0,3124.0,0
575,44.0,3790.0,2.87,753583.0,145477.0,0
23,1.0,3790.0,2.87,17123.0,3124.0,0
413,31.0,3790.0,2.87,530937.0,102496.0,0
50,3.0,5110.0,2.87,51382.0,9375.0,0
46,3.0,5110.0,2.87,51382.0,9375.0,0
20,1.0,5110.0,2.87,17123.0,3124.0,0
69,5.0,5110.0,2.87,85640.0,15625.0,0
228,17.0,5110.0,2.87,291153.0,53123.0,0
2374,182.0,5110.0,2.87,3117075.0,579750.0,2
122,9.0,5110.0,2.87,154137.0,28123.0,0
56,4.0,5110.0,2.87,68508.0,12499.0,0
136,10.0,5110.0,2.87,171266.0,31249.0,0
36,2.0,5110.0,2.87,34257.0,6250.0,0
155,11.0,5110.0,2.87,188395.0,34374.0,0
423,32.0,5110.0,2.87,548063.0,105802.0,0
720,55.0,5110.0,2.87,941970.0,181845.0,0
675,51.0,5110.0,2.87,873465.0,168620.0,0
456,35.0,5110.0,2.87,599447.0,115722.0,0
221,17.0,3790.0,2.87,291153.0,53123.0,0
337,25.0,3790.0,2.87,428170.0,78123.0,0
416,32.0,9150.0,2.87,548063.0,105802.0,0
53,4.0,9900.0,2.87,68508.0,12499.0,0
80,6.0,9900.0,2.87,102759.0,18749.0,0
56,4.0,5280.0,2.87,68508.0,12499.0,0
122,9.0,5280.0,2.87,154137.0,28123.0,0
46,3.0,3790.0,2.87,51382.0,9375.0,0
23,1.0,5280.0,2.87,17123.0,3124.0,0
23,1.0,5280.0,2.87,17123.0,3124.0,0
198,15.0,445.0,2.87,256906.0,46874.0,0
60,4.0,445.0,2.87,68508.0,12499.0,0
1686,129.0,455.0,2.87,2209358.0,418803.0,2
198,15.0,445.0,2.87,256906.0,46874.0,0
1785,137.0,577.0,2.87,2346374.0,442956.0,2
198,15.0,577.0,2.87,256906.0,46874.0,0
298,22.0,577.0,2.87,376785.0,68747.0,0
